No,Type,from,type1,x1,y1,z1,altitude,weight,to,type2,x2,y2,z2,altitude,weight,xdistance (m),ydistance (m),zdistance (m),horizontal distance (m),distance (m),xorientation,degree,azimuth,dip,dudegree
8,1,529,Core,808.0623591,629.7369792,0.934664,934.664,106,319,BPF,808.0618722,629.7395094,0.934775,934.775,2,0.4869,2.5302,0.111,2.576622528,2.57901234,169.107418,2.466756974,349.107418,349.107418,87.53324303
2,2,114,BP,808.0594863,629.7397986,0.934864,934.864,9,248,BP,808.0594395,629.739744,0.934804,934.804,3.4,0.0468,0.0546,0.06,0.071912447,0.093655753,40.60129462,39.83986095,220.6012946,40.60129462,129.8398609
7,4,32,BPF,808.0610751,629.7373257,0.934844,934.844,12,4,BPF,808.0618185,629.7369945,0.934907,934.907,5,0.7434,0.3312,0.063,0.813840893,0.816275689,114.0139561,4.426479188,114.0139561,114.0139561,85.57352081
7,4,32,BPF,808.0610751,629.7373257,0.934844,934.844,12,550,BPF,808.06023,629.74005,0.934658,934.658,3,0.8451,2.7243,0.186,2.852368227,2.858426228,162.7656852,3.730916655,342.7656852,162.7656852,93.73091666
7,4,4,BPF,808.0618185,629.7369945,0.934907,934.907,5,550,BPF,808.06023,629.74005,0.934658,934.658,3,1.5885,3.0555,0.249,3.443749773,3.452739999,152.5308824,4.135568994,332.5308824,152.5308824,94.13556899
1,2,246,BP,808.0594158,629.7397971,0.934815,934.815,21,250,BP,808.0594416,629.7398442,0.934801,934.801,14,0.0258,0.0471,0.014,0.053703352,0.055498198,28.71263663,14.61131392,28.71263663,208.7126366,104.6113139
5,2,249,BP,808.0594689,629.7398208,0.934794,934.794,7.1,321,BP,808.0612077,629.7392484,0.934724,934.724,2.7,1.7388,0.5724,0.07,1.830592035,1.831929911,108.2211596,2.189866096,108.2211596,288.2211596,92.1898661
6,2,277,BP,808.0598547,629.7385284,0.934831,934.831,12,21,BP,808.0604184,629.7392838,0.934835,934.835,10,0.5637,0.7554,0.004,0.942542758,0.942551245,36.73129969,0.243152621,36.73129969,36.73129969,89.75684738
3,3,10,BPF,808.0606326,629.7388962,0.934887,934.887,,36,BPF,808.0598775,629.7380535,0.934856,934.856,8,0.7551,0.8427,0.031,1.131511953,1.131936526,41.86187853,1.569338235,221.8618785,41.86187853,91.56933823
4,4,118,BPF,808.0595688,629.7398991,0.934869,934.869,7,260,BPF,808.0594725,629.7398505,0.934795,934.795,2,0.0963,0.0486,0.074,0.10786867,0.130811506,63.22115959,34.45087818,243.2211596,63.22115959,124.4508782
9,4,426,Chunk,808.0625259,629.7373608,0.934731,934.731,46,461,BPF,808.0612884,629.7378423,0.934601,934.601,17,1.2375,0.4815,0.13,1.327873676,1.334222058,111.2605592,5.591488576,291.2605592,111.2605592,95.59148858
