No,Type,from,type1,x1,y1,z1,weight,to,type2,x2,y2,z2,weight,xdistance (m),ydistance (m),zdistance (m),horizontal distance (m),distance (m),xorientation,degree,xzdegree,azimuth,dip,Up or down,dudegree
1,2,TOK473,BP,808.1231349,629.7077893,0.938499,47,TOK1260,BPF,808.1234831,629.7077843,0.938148,7,0.348236,0.005036,0.000351,0.348272412,0.348272589,90.82852272,0.057744487,0.057750525,90.82852272,270.8285227,DOWN,90.05774449
2,4,TOK688,Chunk,808.122932,629.7098655,0.938367,16,TOK1197,Chunk,808.1231755,629.7080555,0.938326,14,0.243456,1.80996,4.1E-05,1.82626012,1.82626012,172.3391799,0.001286305,0.009649082,172.3391799,352.3391799,DOWN,90.0012863
3,4,TOK998,BPF,808.1232543,629.7097517,0.938264,13,TOK726,BPF,808.1231791,629.7106111,0.938506,12,0.075152,0.859368,0.000242,0.862647774,0.862647808,175.0021807,0.016073279,0.184499823,355.0021807,355.0021807,UP,89.98392672
3,2,TOK726,BPF,808.1231791,629.7106111,0.938506,12,TOK1076,BP,808.12243,629.7094383,0.938312,8,0.749184,1.172784,0.000194,1.391653325,1.391653338,32.57077271,0.007987177,0.01483665,212.5707727,32.57077271,DOWN,90.00798718
3,2,TOK998,BPF,808.1232543,629.7097517,0.938264,13,TOK1076,BP,808.12243,629.7094383,0.938312,8,0.824336,0.313416,4.8E-05,0.881906701,0.881906703,69.18298673,0.003118468,0.003336258,249.1829867,249.1829867,UP,89.99688153
4,4,TOK98,BPF,808.1206714,629.7092561,0.938662,22,TOK1200,BPF,808.1227613,629.7082464,0.938269,14,2.089896,1.00968,0.000393,2.321016802,2.321016835,115.7863272,0.009701455,0.010774336,115.7863272,295.7863272,DOWN,90.00970146
5,4,TOK1233,Chunk,808.1252051,629.7100075,0.938139,35,TOK930,BPF,808.1220661,629.7075113,0.93834,5,3.139004,2.49614,0.000201,4.010493861,4.010493866,51.50823486,0.002871579,0.003668824,231.5082349,231.5082349,UP,89.99712842
6,4,TOK764,BPF,808.1218462,629.711325,0.938347,33,TOK1389,BPF,808.1221592,629.7118847,0.938086,10,0.313044,0.559716,0.000261,0.641310024,0.641310077,29.21788281,0.023318203,0.047770265,29.21788281,209.2178828,DOWN,90.0233182
6,4,TOK764,BPF,808.1218462,629.711325,0.938347,33,TOK1109,Chunk,808.1223392,629.7064989,0.938344,14,0.493016,4.826024,3E-06,4.851141353,4.851141353,174.1670244,3.54324E-05,0.000348645,174.1670244,354.1670244,DOWN,90.00003543
6,4,TOK1109,Chunk,808.1223392,629.7064989,0.938344,14,TOk1389,BPF,808.1221592,629.7118847,0.938086,10,0.179972,5.38574,0.000258,5.388746168,5.388746175,178.0860939,0.002743182,0.082136671,358.0860939,178.0860939,DOWN,90.00274318
7,2,TOK145,BP,808.1239345,629.7109823,0.938596,18,TOK423,BP,808.1203966,629.7093953,0.938438,2,3.537912,1.587008,0.000158,3.877552799,3.877552803,65.84033478,0.002334651,0.002558778,245.8403348,65.84033478,DOWN,90.00233465
8,1,TOK1230,Core,808.1257532,629.7103961,0.938267,204,TOK885,BP,808.1222099,629.7091138,0.938356,13,3.543268,1.282268,8.9E-05,3.768150653,3.768150654,70.10539167,0.00135327,0.001439159,250.1053917,250.1053917,UP,89.99864673
