Number,Trench,Level,Layer,General Unit,gou, Original Type,Gtype,Type,xold,yold,x,y,z,Altitude,Orientation_old,Orientation,Dip,Degree,max,Length,Width,Thickness,Weight,lwratio,Lgroup,Wgroup,New category,Technological category,Rock type,Row material,Weathering,Rounddegree,Roundness
s-1,T1,11,,,,S,S,S,100.95,98.7,808.0619244,629.7375339,0.93503,935.03,,,,,78,78,76,66,491,1.026315789,l,l,FP,Core,Chert,C,1,R1,1
s-2,T1,11,,,,S,S,S,100.95,98.7,808.0619244,629.7375339,0.9349,934.9,,,,,26,26,24,17,11,1.083333333,m,m,DP,Chunk,Silicious dolomite,SD,1,R1,1
s-3,T1,11,,,,S,S,S,100.78,98.32,808.0617094,629.7371775,0.934907,934.907,,,,,29,29,16,12,4,1.8125,m,m,DP,BPF,Chert,C,0,R0,0
s-4,T1,11,,,,S,S,S,100.95,98.15,808.0618574,629.7369881,0.934907,934.907,,,,,27,27,17,7,5,1.588235294,m,m,DP,BPF,Chert,C,0,R0,0
s-5,T1,11,,,,S,S,S,100.46,99.16,808.0614942,629.7380502,0.934868,934.868,,,,,45,45,19,19,18,2.368421053,m,m,DP,Chunk,Silicious dolomite,SD,2,R0,0
s-6,T1,11,,,,S,S,S,100.94,99.33,808.0619913,629.7381604,0.93489,934.89,,,,,24,24,13,7,2,1.846153846,m,s,DP,BP,Chert,C,0,R0,0
s-7,T1,11,,,Y,S,S,S,99.16,98.83,808.0601637,629.7378812,0.934905,934.905,,,,,,,,,,,,,,,,,,,
s-8,T1,11,,,,S,S,S,99.33,98.65,808.0603105,629.7376818,0.934899,934.899,,,,,10,10,7,2,1.23333,1.428571429,s,s,DP,BPF,Chert,C,0,R0,0
s-9,T1,11,,,,S,S,S,99.61,99.65,808.0607103,629.7386402,0.934866,934.866,,,,,66,66,61,58,282,1.081967213,l,l,FP,Core,Chert,C,2,R2,2
s-10,T1,11,,,,S,S,S,99.54,99.9,808.0606713,629.7388968,0.934887,934.887,,,,,,,,,,,,,,,,,,,
s-11,T1,11,,,,S,S,S,99.44,99.91,808.0605732,629.7389189,0.934897,934.897,,,,,45,45,41,22,42,1.097560976,m,m,DP,Chunk,Chert,C,0,R0,0
s-15,T1,11,,,,S,S,S,99.4,97.94,808.0602934,629.7369686,0.934932,934.932,,,,,18,18,9,2,0.2333,2,s,s,DP,BPF,Chert,C,0,R0,0
s-16,T1,11,,,Y,S,S,S,99.7,97.92,808.0605887,629.7369122,0.934952,934.952,,,,,42,42,40,24,36,1.05,m,m,DP,Chunk,Brecciated chert,BC,0,R0,0
s-17,T1,11,,,,S,S,S,101.72,98.95,808.0627191,629.7376882,0.934925,934.925,,,,,18,18,14,10,3,1.285714286,s,s,DP,Chunk,Chert,C,0,R0,0
s-18,T1,11,,,,S,S,S,99.34,100.96,808.060602,629.7399733,0.934853,934.853,,,,,31,31,21,18,13,1.476190476,m,m,DP,Chunk,Chert,C,0,R0,0
s-19,T1,11,,,,S,S,S,99.26,100.72,808.0604933,629.7397448,0.934828,934.828,15,15,,,54,54,30,11,13,1.8,l,m,DP,BP,Chert,C,0,R0,0
s-20,T1,11,,,,S,S,S,99.36,100.55,808.0605718,629.7395639,0.934819,934.819,,,,,24,24,18,15,6,1.333333333,m,m,DP,Chunk,Chert,C,0,R0,0
s-21,T1,11,,,,S,S,S,99.28,100.26,808.0604571,629.7392858,0.934835,934.835,85,85,85,23,46,46,27,9,10,1.703703704,m,m,DP,BP,Silicious dolomite,SD,0,R0,0
s-22,T1,11,,,,S,S,S,101.08,99.64,808.062168,629.738451,0.934838,934.838,,,,,82,82,82,67,492,1,l,l,FP,Core,Brecciated chert,BC,0,R0,0
