Type,Trench,n,K,C,IS,EL,F,CGI
All materials,T1,49,0.063309644,1.779222053,0.16876939,0.100517063,0.18762934,0.120925603
Fossils,T1,42,0.168336771,1.916427214,0.147131694,0.241280732,0.193921125,0.282905028
Lithics,T1,7,1.044212405,2.042925738,0.129648837,0.647799674,0.368111064,0.744296902
Qualified lithics,T1,1,,,0,1,,1
All materials,T2,542,0.048954217,1.961430378,0.140657084,0.087474333,0.154140414,0.101792115
Fossils,T2,478,0.033507382,1.965430131,0.140095614,0.061733527,0.149313248,0.071791153
Lithics,T2,63,0.185419373,1.937847857,0.144013554,0.261483434,0.195003824,0.305476138
Qualified lithics,T2,12,0.134325373,1.350620732,0.259079392,0.147804054,0.304013875,0.199487033
All materials,T3,241,0.358077474,2.055287002,0.128056078,0.418362113,0.220164609,0.479803922
Fossils,T3,215,0.349533823,2.09507357,0.12306119,0.418783024,0.211730205,0.47755102
Lithics,T3,23,0.399415769,2.215601057,0.109087927,0.468667979,0.205310281,0.526054134
Qualified lithics,T3,7,0.417301391,2.415913778,0.089285714,0.509007585,0.181847441,0.55891029
All materials,TOK,1224,0.061667201,1.725686308,0.178050812,0.095376926,0.196823204,0.116037497
Fossils,TOK,729,0.082308255,1.744699029,0.17469756,0.124256715,0.199484898,0.150559006
Lithics,TOK,461,0.030929481,1.67369133,0.187553464,0.048973482,0.197211603,0.060279021
Qualified lithics,TOK,95,0.019349177,1.378312057,0.252003562,0.025823687,0.258683729,0.03452381
